,precision,recall,f1-score,support
가지볶음,0.5757575757575758,0.6333333333333333,0.6031746031746031,30.0
간장게장,0.7419354838709677,0.7666666666666667,0.7540983606557377,30.0
갈비구이,0.4,0.4,0.4,30.0
갈비찜,0.75,0.7,0.7241379310344828,30.0
갈비탕,0.696969696969697,0.7666666666666667,0.7301587301587301,30.0
갈치구이,0.875,0.7,0.7777777777777778,30.0
갈치조림,0.631578947368421,0.4,0.4897959183673469,30.0
감자전,0.7272727272727273,0.5333333333333333,0.6153846153846154,30.0
감자조림,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0
감자채볶음,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
감자탕,0.7037037037037037,0.6333333333333333,0.6666666666666666,30.0
갓김치,0.8076923076923077,0.7,0.75,30.0
건새우볶음,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
경단,0.9259259259259259,0.8333333333333334,0.8771929824561403,30.0
계란국,0.75,0.7,0.7241379310344828,30.0
계란말이,0.7857142857142857,0.7333333333333333,0.7586206896551724,30.0
계란찜,0.84375,0.9,0.8709677419354839,30.0
계란후라이,0.90625,0.9666666666666667,0.9354838709677419,30.0
고등어구이,0.6341463414634146,0.8666666666666667,0.7323943661971831,30.0
고등어조림,0.2702702702702703,0.3333333333333333,0.29850746268656714,30.0
고사리나물,0.8285714285714286,0.9666666666666667,0.8923076923076924,30.0
고추장진미채볶음,0.4358974358974359,0.5666666666666667,0.4927536231884058,30.0
고추튀김,0.7931034482758621,0.7666666666666667,0.7796610169491526,30.0
곰탕_설렁탕,0.8333333333333334,0.6666666666666666,0.7407407407407407,30.0
곱창구이,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
곱창전골,0.5,0.4666666666666667,0.4827586206896552,30.0
과메기,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
김밥,0.9375,1.0,0.967741935483871,30.0
김치볶음밥,0.7741935483870968,0.8,0.7868852459016393,30.0
김치전,0.7096774193548387,0.7333333333333333,0.7213114754098361,30.0
김치찌개,0.6296296296296297,0.5666666666666667,0.5964912280701754,30.0
김치찜,0.47619047619047616,0.6666666666666666,0.5555555555555556,30.0
깍두기,0.8333333333333334,0.8333333333333334,0.8333333333333334,30.0
깻잎장아찌,0.92,0.7666666666666667,0.8363636363636363,30.0
꼬막찜,1.0,0.8333333333333334,0.9090909090909091,30.0
꽁치조림,0.7272727272727273,0.5333333333333333,0.6153846153846154,30.0
꽈리고추무침,0.8928571428571429,0.8333333333333334,0.8620689655172413,30.0
꿀떡,0.8620689655172413,0.8333333333333334,0.847457627118644,30.0
나박김치,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
누룽지,0.782608695652174,0.6,0.6792452830188679,30.0
닭갈비,0.6470588235294118,0.7333333333333333,0.6875,30.0
닭계장,0.5714285714285714,0.6666666666666666,0.6153846153846154,30.0
닭볶음탕,0.7647058823529411,0.8666666666666667,0.8125,30.0
더덕구이,0.875,0.7,0.7777777777777778,30.0
도라지무침,0.68,0.5666666666666667,0.6181818181818182,30.0
도토리묵,0.75,0.7,0.7241379310344828,30.0
동그랑땡,0.8461538461538461,0.7333333333333333,0.7857142857142857,30.0
동태찌개,0.3888888888888889,0.4666666666666667,0.42424242424242425,30.0
된장찌개,0.75,0.7,0.7241379310344828,30.0
두부김치,0.875,0.9333333333333333,0.9032258064516129,30.0
두부조림,0.7083333333333334,0.5666666666666667,0.6296296296296297,30.0
땅콩조림,0.875,0.9333333333333333,0.9032258064516129,30.0
떡갈비,0.8,0.8,0.8,30.0
떡국_만두국,0.6060606060606061,0.6666666666666666,0.6349206349206349,30.0
떡꼬치,0.78125,0.8333333333333334,0.8064516129032258,30.0
떡볶이,0.6956521739130435,0.5333333333333333,0.6037735849056604,30.0
라면,0.8076923076923077,0.7,0.75,30.0
라볶이,0.7741935483870968,0.8,0.7868852459016393,30.0
막국수,0.84,0.7,0.7636363636363637,30.0
만두,0.8461538461538461,0.7333333333333333,0.7857142857142857,30.0
매운탕,0.34615384615384615,0.3,0.32142857142857145,30.0
멍게,0.5,0.6,0.5454545454545454,30.0
메추리알장조림,0.8076923076923077,0.7,0.75,30.0
멸치볶음,0.84,0.7,0.7636363636363637,30.0
무국,0.6857142857142857,0.8,0.7384615384615385,30.0
무생채,0.7419354838709677,0.7666666666666667,0.7540983606557377,30.0
물냉면,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0
물회,0.7407407407407407,0.6666666666666666,0.7017543859649122,30.0
미역국,0.9,0.9,0.9,30.0
미역줄기볶음,1.0,0.9333333333333333,0.9655172413793104,30.0
배추김치,0.8076923076923077,0.7,0.75,30.0
백김치,0.8709677419354839,0.9,0.8852459016393442,30.0
보쌈,0.6333333333333333,0.6333333333333333,0.6333333333333333,30.0
부추김치,0.6842105263157895,0.8666666666666667,0.7647058823529411,30.0
북엇국,0.7741935483870968,0.8,0.7868852459016393,30.0
불고기,0.6153846153846154,0.5333333333333333,0.5714285714285714,30.0
비빔냉면,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
비빔밥,0.6,0.7,0.6461538461538462,30.0
산낙지,0.7741935483870968,0.8,0.7868852459016393,30.0
삼겹살,0.75,0.7,0.7241379310344828,30.0
삼계탕,0.7777777777777778,0.7,0.7368421052631579,30.0
새우볶음밥,0.8333333333333334,1.0,0.9090909090909091,30.0
새우튀김,0.6538461538461539,0.5666666666666667,0.6071428571428571,30.0
