CKG_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_MTRL_CN,vegetarian_type
소고기떡국,743,0,2,끓이기,소고기,국/탕,['재료 떡국떡400g 다진소고기100g 멸치육수800ml 대파13대 계란2개 참기름1T 국간장1T 참기름12T 다진마늘1t 소금 김가루약간'],Omnivore
된장수육,1396,0,1,삶기,돼지고기,메인반찬,['재료 돼지고기 수육용삼겹살500g 된장15큰술 술4큰술 홍어무침 무생채 콩나물무침'],Omnivore
우거지감자탕,4008,0,29,끓이기,돼지고기,국/탕,['재료 돼지등뼈15kg 양파12개 감자1개 대파1대 알배기배추12개 청양고추2개 깻잎1015장 양념 된장2T 고추장2T 다진마늘1T 간장3T 고춧가루3T 액젓3T 다진생강1t 다시다1t 들깨가루3T'],Omnivore
만두전골,6350,0,6,끓이기,가공식품류,국/탕,['재료 만두12개 청경채3개 양파12개 대파12개 느타리버섯100g 홍고추약간 만두전골 육수 코인 육수2개 다시마4개 물1L 전골요리 양념장 고춧가루1T 국간장2T 참치 액1T 다진 마늘1T 통후추20바퀴'],Omnivore
무수분보쌈,1829,0,6,삶기,돼지고기,메인반찬,['재료 통삼겹살600g 양파1개 못난이 사과 2개 대파2대 마늘8개 생강가루 월계수 잎45장 통후추조금 맛술12컵 보쌈 마늘소스 양념 다진 마늘4T 설탕2T 꿀2T 레몬즙3T 올리브유05T'],Omnivore
두부짜박이,786,0,5,끓이기,콩/견과류,찌개,['재료 국산콩 손두부600g 한알 육수2알 새우젓 양념2큰술 고춧가루1큰술 다진마늘12큰술 파7큰술 들기름3큰술 물700ml 새우젓양념재료 육젓5큰술 고춧가루3큰술 다진마늘2큰술'],Pescatarian
돼지등갈비구이,3421,0,8,굽기,돼지고기,메인반찬,['재료 돼지 등갈비550g 올리브오일2큰술 통깨살짝 등갈비삶기 물12L 월계수잎34장 통후추03큰술 슬라이스 생강15g 소주3큰술 등갈비 바베큐 소스 만들기 다진 마늘1큰술 돈까스소스5큰술 굴소스05큰술 식초2큰술 올리고당3큰술 고춧가루03큰술 노두유05큰술'],Omnivore
참치카나페,4259,0,10,기타,기타,디저트,['재료 참치 1캔85g 마요네즈1큰술 흰설탕23꼬집 후추톡톡 체다 슬라이스 치즈2장 참크래커12봉지 귤1개 대추 방울 토마토3개'],Pescatarian
시금치무침,396,0,3,무침,채소류,밑반찬,['재료 시금치203g 다진 마늘03큰술 대파1큰술 참치액1큰술 참기름15큰술 통깨솔솔 시금치 데치기 물15L 굵은소금05큰술'],Pescatarian
계란국,905,0,9,끓이기,기타,국/탕,['재료 계란200g 팽이버섯68g 대파23g 다진 마늘05큰술 소금12꼬집 까나리액젓1큰술 후추톡톡 코인 육수2개 물800ml'],Pescatarian
떡국,144,0,1,끓이기,쌀,밥/죽/떡,['재료 떡국떡2인분 소고기 양지150g 지단조금 대파조금 김가루조금 고명 양지살 양념 다진마늘12수저 참기름12수저 소금2꼬집 후추조금 떡국 양념 참치액젓1수저 국간장1수저 다진마늘12수저'],Omnivore
돼지고기묵은지김치찜,755,0,4,조림,돼지고기,메인반찬,['재료 돼지고기500g 묵은김치12포기 양념 식용류3T 설탕1T'],Omnivore
쑥갓무침,283,0,2,부침,채소류,밑반찬,['재료 쑥갓150g 두부12모 멸치액젓15큰술 다진마늘12큰술 참기름12큰술 다진 대파12큰술 통깨12큰술 쑥갓 데칠때 굵은 소금12큰술'],Pescatarian
